Class Index,Title,Description
3,US house sales fall in July,Sales of non-new houses in the US fell last month but still exceeded analyst forecasts.
3,DJ to acquire MarketWatch,"Dow Jones  amp; Co., publisher of the Wall Street Journal, says it has agreed to buy online news site MarketWatch Inc. in a \$519 million deal that widens its Internet audience."
3,Dollar hits new low on Snow speech,"The United States supports a  quot;strong dollar, quot; Treasury Secretary John Snow said, while suggesting the Bush administration will not act to boost its value. His comments sent the currency plunging to a record low against the euro."
3,Yukos executives 'flee' Russia,All the top executives at Russian oil giant Yukos have fled the country in fear of arrest as the government seeks to sell off its main asset.
3,Smithfield quarterly profits beat outlook,"SMITHFIELD, Va. Meat processor Smithfield Foods says its income more than doubled in the most recent quarter. The company cites improved profitability in the hog production segment, combined with strong results "
4,Gartner optimistic about chip numbers,"But that optimism isn #39;t matched by Infineon, which said that while the market worldwide remains buoyant, the US is a special case and cautioned that growth might not be as strong as it expected."
4,Fossil Indicates Brown Bears Went South,"CALGARY, Alberta - A fossilized jaw found in an Alberta gravel pit may have cleared up a mystery for researchers wondering how brown bears originally made it across North America."
4,Cryptic responds!,"As reported by The Associated Press, Marvel Enterprises Inc. and Marvel Characters, Inc. have sued NCsoft Corporation and Cryptic Studios."
4,Mozilla backtracks in eBay privacy flap,The Mozilla Foundation has updated the German-language version of Firefox in a bid to defuse a growing controversy over the way its search toolbar handles private customer data.
4,New technique to enhance semiconductors,"Conventional silicon based microchips have been known to be problematic at high temperatures, often due to heat generated by the circuit within while operating at high frequencies."
2,Second Andre win in a row boosts US gold medal hopes,"Andre Dirrell, fighting with a tattoo of his grandfather #39;s face on his back, assured the United States of at least two boxing medals Wednesday by narrowly beating Cuba #39;s Yordani Despaigne to advance to the Olympic middleweight semifinals."
2,NFL Game Summary - Kansas City at New Orleans,"Tight end Tony Gonzalez caught six passes for 71 yards for the Chiefs, who have scored 38 points on their initial drive of the game this season...Safety Jay Bellamy and Fakhir Brown each made nine tackles for the Saints, whose last home win over Kansas "
2,Team as we know it is history,"The news comes fast and furious. Pedro Martinez goes to Tampa to visit George Steinbrenner. Theo Epstein and John Henry go to Florida for their turn with Pedro. Carl Pavano comes to Boston to visit Curt Schilling. Jason Varitek says he's not a goner. Derek Lowe is a goner, but he says he wishes it could be different. Orlando Cabrera ..."
2,Colts carry hot streak into Detroit,"The Indianapolis Colts have been on the fast track since October gave way to November. Thursday in Detroit #39;s Ford Field, they #39;ll share the traditional Thanksgiving Day "
2,NCAA denies reinstatement request for Mike Williams,"The NCAA refused to reinstate Southern California All-American Mike Williams on Thursday, leaving the star receiver unable to rejoin the top-ranked Trojans after being shut out of the NFL draft by the courts."
1,Explosion Rocks Baghdad Neighborhood,"BAGHDAD, Iraq, August 24 -- A car bomb exploded near the gate of a US-funded Iraqi television network in Baghdad on Tuesday, killing at least two people and wounding two others, authorities and witnesses said."
1,BBC reporters' log,BBC correspondents record events in the Middle East and their thoughts as the funeral of the Palestinian leader Yasser Arafat takes place.
1,Israel welcomes Rice nomination; Palestinians wary,"Israel on Tuesday warmly welcomed the naming of Condoleezza Rice as America #39;s top diplomat, but Palestinians were wary, saying the new Bush administration must put more energy into the quest for Middle East peace."
1,Medical Journal Calls for a New Drug Watchdog,Medical researchers said the U.S. needs a system independent of the F.D.A. to detect harmful effects of drugs already on the market.
1,Militants Kidnap Relatives of Iraqi Minister-TV,"Militants have kidnapped two relatives of Iraqi Defense Minister Hazim al-Shalaan and demanded US forces leave the holy city of Najaf, Al Jazeera television reported Wednesday."
